K,n,max_support,avg_row_support,s_eff,rate,rep,predictor,loss
100,500,2,1.44,52.05862499999999,0.9912178238741882,6,add-half,2.3025850929940455
100,500,2,1.44,52.05862499999999,0.9912178238741882,6,adaptive,0.18032355413128162
100,500,2,1.44,52.05862499999999,0.9912178238741882,6,cesaro,0.34500897107273126
100,500,2,1.44,52.05862499999999,0.9912178238741882,6,support-oracle,-0.0
100,500,2,1.44,52.05862499999999,0.9912178238741882,7,MLE,9.900613662729377e-11
100,500,2,1.44,52.05862499999999,0.9912178238741882,7,add-one,1.2636920390275583
100,500,2,1.44,52.05862499999999,0.9912178238741882,7,add-half,0.8266785731844679
100,500,2,1.44,52.05862499999999,0.9912178238741882,7,adaptive,0.02571236312848912
100,500,2,1.44,52.05862499999999,0.9912178238741882,7,cesaro,0.10855673091368684
100,500,2,1.44,52.05862499999999,0.9912178238741882,7,support-oracle,-0.0
100,500,2,1.44,52.05862499999999,0.9912178238741882,8,MLE,0.010309643699369153
100,500,2,1.44,52.05862499999999,0.9912178238741882,8,add-one,1.1810224750239948
100,500,2,1.44,52.05862499999999,0.9912178238741882,8,add-half,0.7704194716716147
100,500,2,1.44,52.05862499999999,0.9912178238741882,8,adaptive,0.05585791894230119
100,500,2,1.44,52.05862499999999,0.9912178238741882,8,cesaro,0.15217389715067176
100,500,2,1.44,52.05862499999999,0.9912178238741882,8,support-oracle,0.009831010316136868
100,500,2,1.44,52.05862499999999,0.9912178238741882,9,MLE,9.900591458268882e-11
100,500,2,1.44,52.05862499999999,0.9912178238741882,9,add-one,1.3862943611198906
100,500,2,1.44,52.05862499999999,0.9912178238741882,9,add-half,0.9254791579285613
100,500,2,1.44,52.05862499999999,0.9912178238741882,9,adaptive,0.030459207484708574
100,500,2,1.44,52.05862499999999,0.9912178238741882,9,cesaro,0.09241332559640111
100,500,2,1.44,52.05862499999999,0.9912178238741882,9,support-oracle,-0.0
100,500,2,1.44,52.05862499999999,0.9912178238741882,10,MLE,0.16036193992454084
100,500,2,1.44,52.05862499999999,0.9912178238741882,10,add-one,1.7901569583946602
100,500,2,1.44,52.05862499999999,0.9912178238741882,10,add-half,1.3154784599088898
100,500,2,1.44,52.05862499999999,0.9912178238741882,10,adaptive,0.2487130976972789
100,500,2,1.44,52.05862499999999,0.9912178238741882,10,cesaro,0.5745495064936016
100,500,2,1.44,52.05862499999999,0.9912178238741882,10,support-oracle,0.1438410362258905
100,500,2,1.44,52.05862499999999,0.9912178238741882,11,MLE,0.09289388248322128
100,500,2,1.44,52.05862499999999,0.9912178238741882,11,add-one,1.890672340893015
100,500,2,1.44,52.05862499999999,0.9912178238741882,11,add-half,1.3963070705576803
100,500,2,1.44,52.05862499999999,0.9912178238741882,11,adaptive,0.20129086720114553
100,500,2,1.44,52.05862499999999,0.9912178238741882,11,cesaro,0.541065585315272
100,500,2,1.44,52.05862499999999,0.9912178238741882,11,support-oracle,0.08198620906287912
100,500,2,1.44,52.05862499999999,0.9912178238741882,12,MLE,9.900813502873829e-11
100,500,2,1.44,52.05862499999999,0.9912178238741882,12,add-one,2.388762789235098
