K,n,max_support,avg_row_support,s_eff,rate,predictor,mean_loss,se_loss,median_loss,mean_ratio_to_rate,reps
100,2000,10,5.7,537.0633285179498,1.675371952380915,cesaro,0.5892713389873676,0.042622775911551634,0.4841666750109619,0.3517256798706333,100
100,2000,10,5.7,537.0633285179498,1.675371952380915,support-oracle,0.09376233989998446,0.008680579856037502,0.0738984091308742,0.05596508868776056,100
100,1000,5,3.06,265.9815166124974,1.8489018924427434,MLE,1.1199135962356086,0.2679755861898835,0.05889151792619263,0.6057182378433257,100
100,1000,5,3.06,265.9815166124974,1.8489018924427434,adaptive,0.495515933532832,0.07138545098988462,0.25533521440500917,0.26800553104424774,100
100,1000,5,3.06,265.9815166124974,1.8489018924427434,add-half,1.6184957013030192,0.060511993830205654,1.571365842305231,0.8753821432702875,100
100,1000,5,3.06,265.9815166124974,1.8489018924427434,add-one,2.04443655798427,0.05580348599694738,2.0339484310812717,1.1057571882752464,100
100,1000,5,3.06,265.9815166124974,1.8489018924427434,cesaro,0.764910022238472,0.06867002473719187,0.5993984079032715,0.4137104436774001,100
100,1000,5,3.06,265.9815166124974,1.8489018924427434,support-oracle,0.07567997690868425,0.010216816657848756,0.04160539205036473,0.04093239193383967,100
100,2000,20,10.41,980.1838419086971,2.467986534643735,MLE,3.577298052939386,0.4368602026644255,1.7822367048216528,1.4494803771106415,100
100,2000,20,10.41,980.1838419086971,2.467986534643735,adaptive,0.6169943230888888,0.04251574328572239,0.5411533450714963,0.24999906378255615,100
100,2000,20,10.41,980.1838419086971,2.467986534643735,add-half,1.1568092517410287,0.035751115118411905,1.1307197220884304,0.4687259170593568,100
100,2000,20,10.41,980.1838419086971,2.467986534643735,add-one,1.4495273289043835,0.04116138036696198,1.4150366035718789,0.5873319438971856,100
100,2000,20,10.41,980.1838419086971,2.467986534643735,cesaro,0.8268834898170379,0.039654293116271375,0.8071599985687531,0.3350437606566611,100
100,2000,20,10.41,980.1838419086971,2.467986534643735,support-oracle,0.1469855147937609,0.010458299995555415,0.14624795905579324,0.05955685443599024,100
200,500,2,1.535,140.892039417282,2.5121769158079674,MLE,0.875685503796281,0.2975631590147207,0.0019801397794713127,0.34857636748669935,100
200,500,2,1.535,140.892039417282,2.5121769158079674,adaptive,0.5280120625054646,0.10390833519277723,0.17058779085367964,0.21018108206588831,100
200,500,2,1.535,140.892039417282,2.5121769158079674,add-half,2.6771151815806657,0.07370248823234513,2.5420650636279487,1.0656555136442891,100
200,500,2,1.535,140.892039417282,2.5121769158079674,add-one,3.193012083951167,0.06337509793826147,3.1403135023650988,1.2710140212892724,100
200,500,2,1.535,140.892039417282,2.5121769158079674,cesaro,0.8087087205306428,0.10017253570145734,0.4743945845976335,0.32191551297275794,100
200,500,2,1.535,140.892039417282,2.5121769158079674,support-oracle,0.033859417178312146,0.007453246572892316,-0.0,0.013478118107546684,100
100,1000,10,5.5,457.0152854781626,2.682068228070041,MLE,3.5318653718642476,0.5346931626295512,0.1439971345853699,1.3168439694786223,100
100,1000,10,5.5,457.0152854781626,2.682068228070041,adaptive,0.6695875985829575,0.06299335858551346,0.39218783201400287,0.24965345458969862,100
100,1000,10,5.5,457.0152854781626,2.682068228070041,add-half,1.4730856745374166,0.04202563267709795,1.4343602130365944,0.5492349743829662,100
100,1000,10,5.5,457.0152854781626,2.682068228070041,add-one,1.8310724085419752,0.03562666195016458,1.8029768811025928,0.6827091083583566,100
100,1000,10,5.5,457.0152854781626,2.682068228070041,cesaro,0.8835588433528754,0.058204503453736664,0.7135102434395594,0.3294319041200027,100
100,1000,10,5.5,457.0152854781626,2.682068228070041,support-oracle,0.11079909397765554,0.009782957935183266,0.0924106308269036,0.041311064654527524,100
100,500,5,2.94,198.65079293171985,2.7182784602066357,MLE,2.540158136747543,0.5353101150537538,0.012173850472050496,0.934473113749519,100
100,500,5,2.94,198.65079293171985,2.7182784602066357,adaptive,0.7190554562516315,0.10539248365836043,0.28205457016009927,0.2645260471942124,100
100,500,5,2.94,198.65079293171985,2.7182784602066357,add-half,1.8118029659914519,0.09258024683473248,1.7025016572352523,0.6665258885411335,100
100,500,5,2.94,198.65079293171985,2.7182784602066357,add-one,2.198815148355999,0.08512157228544603,2.1261484811696882,0.8088998903331086,100
100,500,5,2.94,198.65079293171985,2.7182784602066357,cesaro,0.9772524143093843,0.10337719706972967,0.6145013087642721,0.3595115175341883,100
100,500,5,2.94,198.65079293171985,2.7182784602066357,support-oracle,0.05515494030182659,0.008811721333269799,0.006562367962115456,0.02029039375812656,100
200,2000,10,5.59,931.6664911917736,3.0389038800511363,MLE,4.030911208716196,0.5453520204567301,0.21092874581165744,1.3264359018319352,100
200,2000,10,5.59,931.6664911917736,3.0389038800511363,adaptive,0.9183922643362902,0.09030950389976201,0.547165996345,0.30221168572164125,100
200,2000,10,5.59,931.6664911917736,3.0389038800511363,add-half,2.224786420383427,0.05496340407796245,2.1759297999736043,0.7321016090663552,100
200,2000,10,5.59,931.6664911917736,3.0389038800511363,add-one,2.621213542063971,0.04891664859171439,2.5508536510097097,0.8625523035693591,100
200,2000,10,5.59,931.6664911917736,3.0389038800511363,cesaro,1.186839393240622,0.08668509999620666,1.0116441875753743,0.39054851357149567,100
200,2000,10,5.59,931.6664911917736,3.0389038800511363,support-oracle,0.12182070426933807,0.011238179708922717,0.104116194911138,0.040087054108235945,100
100,2000,40,22.53,1587.3204522294488,3.2314968061246705,MLE,7.953228972979479,0.4952936783654455,8.45769031222418,2.461159471952963,100
100,2000,40,22.53,1587.3204522294488,3.2314968061246705,adaptive,0.8155813605999385,0.02997915256437267,0.8571891704082222,0.25238501212631975,100
100,2000,40,22.53,1587.3204522294488,3.2314968061246705,add-half,1.0264254679132128,0.02350677094831645,0.9920325655481712,0.31763158978459266,100
100,2000,40,22.53,1587.3204522294488,3.2314968061246705,add-one,1.1926934499800173,0.031096302538240583,1.1499720246208671,0.36908390183753237,100
100,2000,40,22.53,1587.3204522294488,3.2314968061246705,cesaro,0.9765358059669025,0.02614743341675485,0.9972596101697748,0.3021930283564167,100
100,2000,40,22.53,1587.3204522294488,3.2314968061246705,support-oracle,0.1911688326581093,0.007515991775188397,0.19818345810961646,0.05915798285667068,100
200,1000,5,3.07,487.3366434624844,3.4729947084852157,MLE,3.4939181073073424,0.5682395247384198,0.12785079262722798,1.006024598531926,100
200,1000,5,3.07,487.3366434624844,3.4729947084852157,adaptive,0.9588043067148927,0.10680847925976285,0.4687214144631824,0.27607422043354785,100
200,1000,5,3.07,487.3366434624844,3.4729947084852157,add-half,2.614583384765057,0.06521717905947258,2.5310104697285816,0.7528325276099933,100
200,1000,5,3.07,487.3366434624844,3.4729947084852157,add-one,3.031755634464257,0.056075887438095384,2.9683682207517745,0.8729514119491965,100
